genotype,replicate,treatment,BG.biomass,AG.biomass
82,3,C,0.0094,0.0474
82,4,C,0.0081,0.0356
82,5,C,0.0115,0.0489
82,1,H,0.012,0.0674
82,2,H,0.0091,0.0382
82,3,H,0.0128,0.0549
82,4,H,0.0102,0.0423
82,5,H,0.0097,0.0402
83,1,C,0.0264,0.0993
83,2,C,0.0255,0.1027
83,3,C,0.017,0.0661
83,4,C,0.0183,0.0817
83,5,C,0.0189,0.0728
83,1,H,0.0165,0.0926
83,2,H,0.0129,0.062
83,3,H,0.0273,0.0658
83,4,H,0.0119,0.0596
83,5,H,0.0133,0.0721
84,1,C,0.0176,0.0894
84,2,C,0.0058,0.0428
84,3,C,0.0092,0.0523
84,4,C,0.0125,0.0772
84,5,C,0.0095,0.0531
84,1,H,0.0092,0.0489
84,2,H,0.0109,0.0604
84,3,H,0.0127,0.0557
84,4,H,0.0149,0.0554
84,5,H,0.013,0.068
94,1,C,0.0166,0.0496
94,2,C,0.0092,0.0227
94,3,C,0.0282,0.102
94,4,C,0.0213,0.1001
94,5,C,0.0256,0.1075
94,1,H,0.0291,0.0903
94,2,H,0.01,0.0378
94,3,H,0.0227,0.1094
94,4,H,0.0072,0.0194
94,5,H,0.0112,0.0532
95,1,C,0.011,0.0545
95,2,C,0.0138,0.0386
95,3,C,0.0151,0.0508
95,4,C,0.0173,0.0542
95,5,C,0.0155,0.0655
95,1,H,0.0087,0.0333
95,2,H,0.0145,0.0472
95,3,H,0.0077,0.0233
95,4,H,0.0158,0.0478
95,5,H,0.0109,0.0483
99,1,C,0.0153,0.1038
99,2,C,0.0484,0.1335
99,3,C,0.0117,0.0585
99,4,C,0.0129,0.0684
99,5,C,0.0154,0.1107
99,1,H,0.0128,0.0785
99,2,H,0.0188,0.085
99,3,H,0.0171,0.0844
99,4,H,0.0175,0.0903
99,5,H,0.0151,0.0834
109,1,C,0.0281,0.1038
109,2,C,0.0047,0.031
109,3,C,0.0066,0.041
109,4,C,0.0185,0.0915
109,5,C,0.0125,0.0635
109,1,H,0.0037,0.0164
109,2,H,0.0041,0.0061
109,3,H,0.0175,0.0647
109,4,H,0.0129,0.0589
109,5,H,0.0059,0.0346
